#TYPE	INDEX	FIELD	SOURCE	TARGET
Quest	111	GotoMessage	Return to Mr.Wang once found all the pillars	找到所有石柱后回去找王先生
Quest	112	Name	Saftey of Secret Path	秘密通道的安全
Quest	112	Group	MongchonProvince	盟重省
Quest	113	Name	Insomnia	失眠症
Quest	113	Group	MongchonProvince	盟重省
Quest	113	GotoMessage	Return to Jessica in MongchonWall	回到盟重城找杰西卡
Quest	114	Name	Threats to Mongchon	盟重的威胁
Quest	114	Group	MongchonProvince	盟重省
Quest	114	GotoMessage	Return to MongchonDelegate in MongchonWall	回到盟重城找盟重代表
Quest	115	Name	Eliminate WhiteBoar	消灭白野猪
Quest	115	Group	MongchonProvince	盟重省
Quest	115	GotoMessage	Return to MongchonDelegate in MongchonWall	回到盟重城找盟重代表
Quest	116	Name	Report to the Manager	向管理员报告
Quest	116	Group	MongchonProvince	盟重省
Quest	116	GotoMessage	Speak to SubjugationManager in BichonWall	与比奇城的讨伐管理员交谈
Quest	117	Name	Check Supply Path	检查补给路线
Quest	117	Group	BichonProvince	比奇省
Quest	117	GotoMessage	Speak with CaveGuide.	与洞穴向导交谈。
Quest	118	Name	Zombies in MineralMine	矿脉中的僵尸
Quest	118	Group	TaoVillage	道馆村
Quest	118	GotoMessage	Return to CaveGuide in TaoVillage once the threat has been reduced.	威胁降低后回到道馆村找洞穴向导。
Quest	119	Name	Message to BichonExaminer	给比奇考官的口信
Quest	119	Group	TaoVillage	道馆村
Quest	119	GotoMessage	Travel to BichonWall and talk to BichonExaminer 341:258	前往比奇城，与 341:258 的比奇考官交谈
Quest	120	Name	CorpsFlower	尸花
Quest	120	Group	BichonProvince	比奇省
Quest	120	GotoMessage	Return to Samuel in BichonWall after you retrieve all CorpsFlowers	找齐尸花后回到比奇城找塞缪尔
Quest	121	Name	Save Prajna	拯救般若岛
Quest	121	Group	PrajnaIsland	般若岛
Quest	121	GotoMessage	Return to the Inspector in PrajnaIsland	回到般若岛找监察员
Quest	122	Name	Skeleton Hunt 1	骷髅讨伐一
Quest	122	Group	PrajnaIsland	般若岛
Quest	122	GotoMessage	Return to MirGuide Edward in PrajnaIsland	回到般若岛找向导爱德华
Quest	123	Name	Skeleton Hunt 2	骷髅讨伐二
Quest	123	Group	PrajnaIsland	般若岛
Quest	123	GotoMessage	Return to MirGuide Edward in PrajnaIsland	回到般若岛找向导爱德华
Quest	124	Name	Skull Collector	骷髅头收藏家
Quest	124	Group	PrajnaIsland	般若岛
Quest	124	GotoMessage	Return to the Collector once retrieved all the Skulls	找齐所有骷髅头后回到收藏家处
Quest	125	Name	Visit the VillageChief	拜访村长
Quest	125	Group	PrajnaIsland	般若岛
Quest	125	GotoMessage	Travel up the Stairs and speak with the VillageChief	沿楼梯上去与村长交谈
Quest	126	Name	The VillageChief's Request	村长的请求
Quest	126	Group	PrajnaIsland	般若岛
Quest	126	GotoMessage	Travel to TaoVillage and speak with the LeadTrainer	前往道馆村与首席教官交谈
Quest	127	Name	Stolen Book	被盗的书
Quest	127	Group	TaoVillage	道馆村
Quest	127	GotoMessage	Return to LeadTrainer in TaoVillage	回到道馆村找首席教官
Quest	128	Name	Returning a Book	归还书籍
Quest	128	Group	TaoVillage	道馆村
Quest	128	GotoMessage	Return the Book to VillageChief in PrajnaIsland	把书还给般若岛村长
Quest	129	Name	New Poison	新型毒药
Quest	129	Group	TaoVillage	道馆村
Quest	129	GotoMessage	Return to Janey in TaoVillage 179:296	回到道馆村 179:296 找珍妮
Quest	130	Name	Wanted!	悬赏！
Quest	130	Group	TaoVillage	道馆村
