#TYPE	INDEX	FIELD	SOURCE	TARGET
Magic	1	Name	Fencing	基本剑术
Magic	2	Name	Slaying	攻杀剑术
Magic	3	Name	Thrusting	刺杀剑术
Magic	4	Name	HalfMoon	半月弯刀
Magic	5	Name	ShoulderDash	野蛮冲撞
Magic	6	Name	TwinDrakeBlade	双龙斩
Magic	7	Name	Entrapment	诱捕术
Magic	8	Name	FlamingSword	烈火剑法
Magic	9	Name	LionRoar	狮子吼
Magic	10	Name	CrossHalfMoon	十字半月
Magic	11	Name	BladeAvalanche	剑刃风暴
Magic	12	Name	ProtectionField	护体气场
Magic	13	Name	Rage	狂怒
Magic	14	Name	CounterAttack	反击
Magic	15	Name	SlashingBurst	爆裂斩
Magic	16	Name	Fury	怒火
Magic	17	Name	ImmortalSkin	金刚护体
Magic	31	Name	FireBall	火球术
Magic	32	Name	Repulsion	抗拒火环
Magic	33	Name	ElectricShock	电击术
Magic	34	Name	GreatFireBall	大火球
Magic	35	Name	HellFire	地狱火
Magic	36	Name	ThunderBolt	雷电术
Magic	37	Name	Teleport	瞬息移动
Magic	38	Name	FireBang	爆裂火焰
Magic	39	Name	FireWall	火墙
Magic	40	Name	Lightning	疾光电影
Magic	41	Name	FrostCrunch	冰月震天
Magic	42	Name	ThunderStorm	地狱雷光
Magic	43	Name	MagicShield	魔法盾
Magic	44	Name	TurnUndead	圣言术
Magic	45	Name	Vampirism	吸血术
Magic	46	Name	IceStorm	冰咆哮
Magic	47	Name	FlameDisruptor	灭天火
Magic	48	Name	Mirroring	分身术
Magic	49	Name	FlameField	火焰领域
Magic	50	Name	Blizzard	暴风雪
Magic	51	Name	MagicBooster	魔力强化
Magic	52	Name	MeteorStrike	流星火雨
Magic	53	Name	IceThrust	寒冰穿刺
Magic	54	Name	Blink	闪现
Magic	55	Name	StormEscape	风暴脱身
Magic	61	Name	Healing	治愈术
Magic	62	Name	SpiritSword	精神剑法
Magic	63	Name	Poisoning	施毒术
Magic	64	Name	SoulFireBall	灵魂火符
Magic	65	Name	SummonSkeleton	召唤骷髅
Magic	67	Name	Hiding	隐身术
Magic	68	Name	MassHiding	集体隐身术
Magic	69	Name	SoulShield	幽灵盾
Magic	70	Name	Revelation	心灵启示
Magic	71	Name	BlessedArmour	神圣战甲术
Magic	72	Name	EnergyRepulsor	气功波
Magic	73	Name	TrapHexagon	困魔咒
Magic	74	Name	Purification	净化术
Magic	75	Name	MassHealing	群体治愈术
Magic	76	Name	Hallucination	迷魂术
Magic	77	Name	UltimateEnchancer	极限强化
Magic	78	Name	SummonShinsu	召唤神兽
Magic	79	Name	Reincarnation	复活术
Magic	80	Name	SummonHolyDeva	召唤月灵
Magic	81	Name	Curse	诅咒术
Magic	82	Name	Plague	瘟疫术
Magic	83	Name	PoisonCloud	毒云术
Magic	84	Name	EnergyShield	真气护体
Magic	85	Name	PetEnhancer	宠物强化
