#TYPE	INDEX	FIELD	VALUE	NOTE
Item	593	ToolTip	wont	疑似外观名、占位文本或物品名，建议并入名称专项
Item	709	ToolTip	wont	疑似外观名、占位文本或物品名，建议并入名称专项
Item	794	ToolTip	可在商城购买的高级鱼竿。\r\n-持续 6 个月	剩余可见英文，待后续人工复核
Item	941	ToolTip	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。	剩余可见英文，待后续人工复核
Item	942	ToolTip	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。	剩余可见英文，待后续人工复核
Item	943	ToolTip	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。	剩余可见英文，待后续人工复核
Item	944	ToolTip	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。	剩余可见英文，待后续人工复核
Item	945	ToolTip	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。	剩余可见英文，待后续人工复核
Item	946	ToolTip	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。	剩余可见英文，待后续人工复核
Item	947	ToolTip	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。	剩余可见英文，待后续人工复核
Item	948	ToolTip	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。	剩余可见英文，待后续人工复核
Item	949	ToolTip	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。	剩余可见英文，待后续人工复核
Item	950	ToolTip	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。	剩余可见英文，待后续人工复核
Item	951	ToolTip	点击此蛋可获得一只宠物。\r\n宠物会帮你拾取物品，让你可以继续战斗。	剩余可见英文，待后续人工复核
Item	953	ToolTip	特殊宠物每 3 小时产出一次这种稀有石头。\r\n打碎后可获得随机物品。	剩余可见英文，待后续人工复核
Item	955	ToolTip	可喂给宠物。\r\n25%	剩余可见英文，待后续人工复核
Item	956	ToolTip	可喂给宠物。\r\n50%	剩余可见英文，待后续人工复核
Item	957	ToolTip	可喂给宠物。\r\n75%	剩余可见英文，待后续人工复核
Item	958	ToolTip	可喂给宠物。\r\n100%	剩余可见英文，待后续人工复核
Item	960	ToolTip	打开此盒可获得随机神物。\r\n神物强度取决于盒子强度。	剩余可见英文，待后续人工复核
Item	961	ToolTip	打开此盒可获得随机神物。\r\n神物强度取决于盒子强度。	剩余可见英文，待后续人工复核
Item	962	ToolTip	打开此盒可获得随机神物。\r\n神物强度取决于盒子强度。	剩余可见英文，待后续人工复核
Item	965	ToolTip	最大 HP 提高 50，持续 1 小时。	含保留缩写或命令，已中文化主体或待专项确认
Item	966	ToolTip	最大 MP 提高 50，持续 1 小时。	含保留缩写或命令，已中文化主体或待专项确认
Item	976	ToolTip	挥出弧形攻击，最多可同时命中 4 个目标。\r\n	剩余可见英文，待后续人工复核
Item	978	ToolTip	武器一次动作挥砍两次。\r\n目标有几率被击晕并受到更多伤害。	剩余可见英文，待后续人工复核
Item	997	ToolTip	在 3x3 范围内制造火焰爆炸并造成伤害。\r\n	剩余可见英文，待后续人工复核
Item	1009	ToolTip	施法者从天空召唤风暴，在 5x5 范围内向目标降下冰片。	剩余可见英文，待后续人工复核
Item	1011	ToolTip	施法者从天空召唤流星风暴，对 5x5 范围内敌人降下熔岩。	剩余可见英文，待后续人工复核
Item	1022	ToolTip	在 3x3 范围内施放，使受影响者隐入暗影，怪物难以发现他们。	剩余可见英文，待后续人工复核
Item	1029	ToolTip	为自己或 3x3 范围内友方目标施加持续治疗效果。	剩余可见英文，待后续人工复核
Item	1036	ToolTip	在 3x3 区域内施放多种毒与减益效果。效果会随装备的毒药变化。	剩余可见英文，待后续人工复核
Item	1037	ToolTip	在 3x3 区域内释放剧毒云雾。	剩余可见英文，待后续人工复核
