#TYPE	INDEX	FIELD	VALUE
Magic	1	Name	基本剑术
Magic	2	Name	攻杀剑术
Magic	3	Name	刺杀剑术
Magic	4	Name	半月弯刀
Magic	5	Name	野蛮冲撞
Magic	6	Name	双龙斩
Magic	7	Name	诱捕术
Magic	8	Name	烈火剑法
Magic	9	Name	狮子吼
Magic	10	Name	十字半月
Magic	11	Name	剑刃风暴
Magic	12	Name	护体气场
Magic	13	Name	狂怒
Magic	14	Name	反击
Magic	15	Name	爆裂斩
Magic	16	Name	怒火
Magic	17	Name	金刚护体
Magic	31	Name	火球术
Magic	32	Name	抗拒火环
Magic	33	Name	电击术
Magic	34	Name	大火球
Magic	35	Name	地狱火
Magic	36	Name	雷电术
Magic	37	Name	瞬息移动
Magic	38	Name	爆裂火焰
Magic	39	Name	火墙
Magic	40	Name	疾光电影
Magic	41	Name	冰月震天
Magic	42	Name	地狱雷光
Magic	43	Name	魔法盾
Magic	44	Name	圣言术
Magic	45	Name	吸血术
Magic	46	Name	冰咆哮
Magic	47	Name	灭天火
Magic	48	Name	分身术
Magic	49	Name	火焰领域
Magic	50	Name	暴风雪
Magic	51	Name	魔力强化
Magic	52	Name	流星火雨
Magic	53	Name	寒冰穿刺
Magic	54	Name	闪现
Magic	55	Name	风暴脱身
Magic	61	Name	治愈术
Magic	62	Name	精神剑法
Magic	63	Name	施毒术
Magic	64	Name	灵魂火符
Magic	65	Name	召唤骷髅
Magic	67	Name	隐身术
Magic	68	Name	集体隐身术
Magic	69	Name	幽灵盾
Magic	70	Name	心灵启示
Magic	71	Name	神圣战甲术
Magic	72	Name	气功波
Magic	73	Name	困魔咒
Magic	74	Name	净化术
Magic	75	Name	群体治愈术
Magic	76	Name	迷魂术
Magic	77	Name	极限强化
Magic	78	Name	召唤神兽
Magic	79	Name	复活术
Magic	80	Name	召唤月灵
Magic	81	Name	诅咒术
Magic	82	Name	瘟疫术
Magic	83	Name	毒云术
Magic	84	Name	真气护体
Magic	85	Name	宠物强化
Magic	86	Name	治愈法阵
Magic	91	Name	致命剑法
Magic	92	Name	双斩
Magic	93	Name	疾步
Magic	94	Name	闪电突袭
Magic	95	Name	轻身术
Magic	96	Name	天剑术
Magic	97	Name	火焰爆发
Magic	98	Name	陷阱
Magic	99	Name	毒剑术
Magic	100	Name	月光斩
Magic	101	Name	噬魔术
Magic	102	Name	疾风步
Magic	103	Name	暗影身法
Magic	104	Name	放血术
Magic	105	Name	新月斩
Magic	106	Name	月影迷雾
Magic	107	Name	猫舌术
Magic	121	Name	凝神
Magic	122	Name	直射
Magic	123	Name	连珠箭
Magic	124	Name	爆炸陷阱
Magic	125	Name	延时爆破
Magic	126	Name	冥想
Magic	127	Name	后撤步
Magic	128	Name	元素箭
Magic	129	Name	专注
Magic	130	Name	石化陷阱
Magic	131	Name	元素屏障
Magic	132	Name	召唤吸血蝠
Magic	133	Name	吸血箭
Magic	134	Name	召唤毒蟾
Magic	135	Name	毒箭
Magic	136	Name	致残箭
Magic	137	Name	召唤毒蛇
Magic	138	Name	燃烧箭
Magic	139	Name	自然合一
Magic	140	Name	束缚箭
Magic	141	Name	心境
Magic	150	Name	传送门
Magic	151	Name	闪现
Magic	152	Name	传送门
Magic	153	Name	战吼
Magic	154	Name	弹射火焰
Magic	155	Name	流星雨
Map	1	Title	比奇省
Map	2	Title	皇宫
Map	3	Title	肉铺
Map	4	Title	药剂店
Map	5	Title	药房
Map	6	Title	书店
Map	7	Title	美容院
Map	8	Title	客栈
Map	9	Title	客栈二楼
Map	10	Title	武器店
Map	11	Title	首饰店
Map	12	Title	服装店
Map	13	Title	酒馆
Map	14	Title	厨房
Map	15	Title	民居
Map	16	Title	民居
Map	17	Title	民居
Map	18	Title	民居
Map	19	Title	书院
Map	20	Title	书院
Map	21	Title	书院
Map	22	Title	比武场
Map	23	Title	地下比武场
Map	24	Title	兵营
Map	25	Title	监狱
Map	26	Title	民居
Map	27	Title	民居
Map	28	Title	边境餐馆
Map	29	Title	书店
Map	30	Title	地下居所
Map	31	Title	杂货店
Map	32	Title	仓库
Map	33	Title	法师之家
Map	34	Title	天然洞穴
Map	35	Title	天然洞穴
Map	36	Title	隐藏房间
Map	37	Title	连接通道
Map	38	Title	连接通道
Map	39	Title	兽人古墓一层
Map	40	Title	兽人古墓二层
Map	41	Title	隐藏房间
Map	42	Title	王陵
Map	43	Title	兽人古墓三层
Map	44	Title	远古天然洞穴
Map	45	Title	远古天然洞穴
Map	46	Title	远古天然洞穴
Map	47	Title	废矿入口
Map	48	Title	矿区地下一层
Map	49	Title	矿区地下一层
Map	50	Title	废矿东部
Map	51	Title	矿区地下一层
Map	52	Title	废矿地下二层
Map	53	Title	高架通道
Map	54	Title	废矿一层
Map	55	Title	高架通道
Map	56	Title	矿石仓库
Map	57	Title	高架通道
Map	58	Title	废矿南部
Map	59	Title	尸王殿
Map	60	Title	连接通道
Map	61	Title	连接通道
Map	62	Title	连接通道
Map	63	Title	连接通道
Map	64	Title	沃玛森林南部
Map	65	Title	虫洞一层
Map	66	Title	虫洞二层
Map	67	Title	虫洞三层
Map	68	Title	虫洞四层
Map	69	Title	沃玛寺庙入口
Map	70	Title	沃玛寺庙一层
Map	71	Title	沃玛寺庙二层
Map	72	Title	沃玛寺庙
Map	73	Title	远古寺庙入口
Map	74	Title	远古寺庙一层
Map	75	Title	远古寺庙二层
Map	76	Title	远古寺庙
Map	77	Title	基隆城
Map	78	Title	内城
Map	79	Title	武器店
Map	80	Title	药品店
Map	81	Title	首饰店
Map	82	Title	服装店
Map	83	Title	监狱
Map	84	Title	物品仓库
Map	85	Title	黑龙地牢
Map	86	Title	黑蛇宫殿
Map	87	Title	黑龙地牢一层
Map	88	Title	黑龙地牢二层
Map	89	Title	炼狱大厅
Map	90	Title	沃玛宫殿
Map	91	Title	幻魔阵
Map	92	Title	野猪王宫
Map	93	Title	孤魂殿
Map	94	Title	幻魔阵
Map	95	Title	祖玛宫殿
Map	96	Title	监狱大厅
Map	97	Title	暗魔宫殿
Map	98	Title	白龙通道
Map	99	Title	白龙通道
Map	100	Title	白龙山腰
Map	101	Title	白龙通道
Map	102	Title	白龙通道
Map	103	Title	石草山谷
Map	104	Title	矿洞一层
Map	105	Title	矿洞二层
Map	106	Title	矿洞三层
Map	107	Title	矿洞四层
Map	108	Title	沃玛森林北部
Map	109	Title	军械库
Map	110	Title	道士长老办公室
Map	111	Title	洗衣房
Map	112	Title	书店
Map	113	Title	物品实验室
Map	114	Title	药品店
Map	115	Title	仓库
Map	116	Title	矿脉一层
Map	117	Title	矿脉二层
Map	118	Title	矿脉三层
Map	119	Title	矿脉四层
Map	120	Title	林间小径
Map	121	Title	赤月峡谷一层
Map	122	Title	赤月峡谷一层
Map	123	Title	赤月峡谷一层
Map	124	Title	赤月峡谷二层
Map	125	Title	赤月峡谷三层
Map	126	Title	赤月峡谷三层
Map	127	Title	赤月峡谷四层
Map	128	Title	赤月峡谷五层
Map	129	Title	赤月峡谷五层
Map	130	Title	大道士陵墓
Map	131	Title	赤月魔穴
Map	132	Title	赤月峡谷五层
Map	133	Title	赤月峡谷五层
Map	135	Title	月宫一层
Map	136	Title	月宫二层
Map	137	Title	月宫三层
Map	138	Title	月宫四层
Map	139	Title	月宫密室
Map	140	Title	黑暗森林
Map	141	Title	黑暗森林
Map	142	Title	黑暗森林
Map	143	Title	城镇大厅
Map	144	Title	毒蛇山谷
Map	145	Title	毒蛇山谷酒馆
Map	146	Title	药剂店
Map	147	Title	铁匠铺
Map	148	Title	民居
Map	149	Title	毒蛇山谷废矿
Map	150	Title	毒蛇山谷废矿
Map	151	Title	毒蛇山谷废矿
Map	152	Title	毒蛇迷宫
Map	153	Title	毒蛇迷宫
Map	154	Title	毒蛇迷宫
Map	155	Title	毒蛇迷宫
Map	156	Title	毒蛇迷宫
Map	157	Title	毒蛇迷宫
Map	158	Title	毒蛇小径
Map	159	Title	毒蛇小径
Map	160	Title	毒蛇小径
Map	161	Title	毒蛇小径
Map	162	Title	毒蛇迷宫
Map	163	Title	毒蛇洞穴
Map	164	Title	毒蛇洞穴
Map	165	Title	螭龙巢穴
Map	166	Title	连接通道
Map	167	Title	连接通道
Map	168	Title	连接通道
Map	169	Title	连接通道
Map	170	Title	连接通道
Map	171	Title	神秘洞穴
Map	172	Title	盟重省
Map	173	Title	民居
Map	174	Title	民居
Map	175	Title	客栈
Map	176	Title	客栈二楼
Map	177	Title	酒馆
Map	178	Title	服装店
Map	179	Title	杂货店
Map	180	Title	铁匠铺
Map	181	Title	磨坊
Map	182	Title	石墓南一层
Map	183	Title	石墓西一层
Map	184	Title	石墓北一层
Map	185	Title	石墓西二层
Map	186	Title	石墓北二层
Map	187	Title	生死棺
Map	188	Title	石灯笼屋
Map	189	Title	紫晶屋
Map	190	Title	石刻溪流
Map	191	Title	怪石屋
Map	192	Title	怪石小径
Map	193	Title	失落洞穴主洞
Map	194	Title	失落中洞
Map	195	Title	失落南洞
Map	196	Title	失落西洞
Map	197	Title	失落北洞
Map	198	Title	失落东洞
Map	199	Title	剧毒洞穴
Map	200	Title	斜石墓地下一层
Map	201	Title	斜石墓地下二层
Map	202	Title	斜石墓地下三层
Map	203	Title	斜石墓地下四层
Map	204	Title	斜石墓地下五层
Map	205	Title	斜石墓地下六层
Map	206	Title	斜石墓地下七层
Map	207	Title	战术迷宫
Map	208	Title	战术迷宫
Map	209	Title	战术迷宫
Map	210	Title	战术迷宫
Map	211	Title	战术迷宫
Map	212	Title	战术迷宫
Map	213	Title	战术迷宫
Map	214	Title	战术迷宫
Map	215	Title	战术迷宫
Map	216	Title	战术迷宫
Map	217	Title	战术迷宫
Map	218	Title	战术迷宫
Map	219	Title	战术迷宫
Map	220	Title	战术迷宫
Map	221	Title	战术迷宫
Map	222	Title	战术迷宫
Map	223	Title	战术迷宫
Map	224	Title	战术迷宫
Map	225	Title	战术迷宫
Map	226	Title	战术迷宫
Map	227	Title	战术迷宫
Map	228	Title	战术迷宫
Map	229	Title	战术迷宫
Map	230	Title	战术迷宫
Map	231	Title	战术迷宫
Map	232	Title	战术迷宫
Map	233	Title	战术迷宫
Map	234	Title	战术迷宫
Map	235	Title	战术迷宫
Map	236	Title	斜石墓入口
Map	237	Title	远古石墓入口
Map	238	Title	远古石墓一层
Map	239	Title	远古石墓二层
Map	240	Title	远古石墓三层
Map	241	Title	连接洞穴
Map	242	Title	连接洞穴
Map	243	Title	连接洞穴
Map	244	Title	沙巴克密道
Map	245	Title	内城墙
Map	246	Title	铁匠铺
Map	247	Title	仓库
Map	248	Title	药剂店
Map	249	Title	药剂店
Map	250	Title	药剂店
Map	251	Title	监狱
Map	252	Title	监狱
Map	253	Title	祖玛寺庙大厅
