"TYPE"	"INDEX"	"NAME"	"REF_COUNT"	"FILE_COUNT"	"AREAS"	"RISK"	"SAMPLES"
"Item"	"666"	"(HP)PotionSmall"	"1"	"1"	"Envir/Drops"	"Medium"	"Envir/Drops/SerpantValley/ViperCave/Yimoogi.txt:121:1/1 (HP)PotionSmall"
"Item"	"667"	"(MP)PotionSmall"	"1"	"1"	"Envir/Drops"	"Medium"	"Envir/Drops/SerpantValley/ViperCave/Yimoogi.txt:122:1/1 (MP)PotionSmall"
"Item"	"833"	"AdamintineOre"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Ore.txt:38:AdamintineOre"
"Item"	"829"	"Amethyst"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Ore.txt:34:Amethyst"
"Item"	"713"	"Amulet(Bundle)"	"1"	"1"	"Envir/Recipe"	"Medium"	"Envir/Recipe/AmuletOfRevival.txt:11:Amulet(Bundle)"
"Item"	"125"	"BeltOfStrength1"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Belt.txt:51:BeltOfStrength1"
"Item"	"127"	"BeltOfStrength2"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Belt.txt:52:BeltOfStrength2"
"Item"	"129"	"BeltOfStrength3"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Belt.txt:53:BeltOfStrength3"
"Item"	"131"	"BeltOfStrength4"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Belt.txt:54:BeltOfStrength4"
"Item"	"133"	"BeltOfStrength5"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Belt.txt:55:BeltOfStrength5"
"Item"	"953"	"BlackCreatureStone"	"1"	"1"	"Configs"	"Medium"	"Configs/Setup.ini:157:CreatureBlackStoneName=BlackCreatureStone"
"Item"	"1213"	"BlackCrystalRing"	"1"	"1"	"Envir/Quests"	"Medium"	"Envir/Quests/SerpentValley/Serpent Mines/4.txt:22:BlackCrystalRing"
"Item"	"1245"	"BlackIronBangle"	"1"	"1"	"Envir/Quests"	"Medium"	"Envir/Quests/WoomyonWoods/TaoistVillage/Tao Village/14.txt:16:BlackIronBangle"
"Item"	"766"	"BlackLeopard"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Mount.txt:40:BlackLeopard"
"Item"	"788"	"BlackMask"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Mount.txt:62:BlackMask"
"Item"	"1215"	"BlackPearlRing"	"1"	"1"	"Envir/Quests"	"Medium"	"Envir/Quests/SerpentValley/Serpent Mines/4.txt:24:BlackPearlRing"
"Item"	"785"	"BlackRibbon"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Mount.txt:59:BlackRibbon"
"Item"	"774"	"BlackWolf"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Mount.txt:48:BlackWolf"
"Item"	"1013"	"Blink"	"1"	"1"	"Configs"	"Medium"	"Configs/Setup.ini:129:BlinkSkill=Blink"
"Item"	"316"	"BloodThirstyBow"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Weapon.txt:159:BloodThirstyBow"
"Item"	"1335"	"BloodWine"	"1"	"1"	"Envir/SystemScripts"	"Medium"	"Envir/SystemScripts/SharedNPCS/Tavern.txt:19:BloodWine"
"Item"	"1320"	"BlueOctagonalBox"	"1"	"1"	"Envir/SystemScripts"	"Medium"	"Envir/SystemScripts/00Default/UseItems.txt:27:;;BlueOctagonalBox"
"Item"	"784"	"BlueRibbon"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Mount.txt:58:BlueRibbon"
"Item"	"765"	"BlueTiger"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Mount.txt:39:BlueTiger"
"Item"	"773"	"BlueWolf"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Mount.txt:47:BlueWolf"
"Item"	"124"	"BootsOfStrength1"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Boot.txt:52:BootsOfStrength1"
"Item"	"126"	"BootsOfStrength2"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Boot.txt:53:BootsOfStrength2"
"Item"	"128"	"BootsOfStrength3"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Boot.txt:54:BootsOfStrength3"
"Item"	"130"	"BootsOfStrength4"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Boot.txt:55:BootsOfStrength4"
"Item"	"132"	"BootsOfStrength5"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Boot.txt:56:BootsOfStrength5"
"Item"	"778"	"BronzeBell"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Mount.txt:52:BronzeBell"
"Item"	"772"	"BrownWolf"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Mount.txt:46:BrownWolf"
"Item"	"900"	"CannibalPoison"	"1"	"1"	"Envir/Drops"	"Medium"	"Envir/Drops/Provinces/CannibalPlant.txt:7:1/20 CannibalPoison"
"Item"	"1332"	"CannibalWine"	"1"	"1"	"Envir/SystemScripts"	"Medium"	"Envir/SystemScripts/SharedNPCS/Tavern.txt:16:CannibalWine"
"Item"	"1133"	"CaveReport"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Quest.txt:47:CaveReport"
"Item"	"219"	"CheongboBelt(ARCH)"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Belt.txt:63:CheongboBelt(ARCH)"
"Item"	"216"	"CheongboBelt(ASSA)"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Belt.txt:62:CheongboBelt(ASSA)"
"Item"	"213"	"CheongboBelt(TAO)"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Belt.txt:61:CheongboBelt(TAO)"
"Item"	"207"	"CheongboBelt(WAR)"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Belt.txt:59:CheongboBelt(WAR)"
"Item"	"210"	"CheongboBelt(WIZ)"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Belt.txt:60:CheongboBelt(WIZ)"
"Item"	"220"	"CheongboBoots(ARCH)"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Boot.txt:70:CheongboBoots(ARCH)"
"Item"	"217"	"CheongboBoots(ASSA)"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Boot.txt:69:CheongboBoots(ASSA)"
"Item"	"214"	"CheongboBoots(TAO)"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Boot.txt:68:CheongboBoots(TAO)"
"Item"	"208"	"CheongboBoots(WAR)"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Boot.txt:66:CheongboBoots(WAR)"
"Item"	"211"	"CheongboBoots(WIZ)"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Boot.txt:67:CheongboBoots(WIZ)"
"Item"	"218"	"CheongboHelmet(ARCH)"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Helmet.txt:57:CheongboHelmet(ARCH)"
"Item"	"215"	"CheongboHelmet(ASSA)"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Helmet.txt:56:CheongboHelmet(ASSA)"
"Item"	"212"	"CheongboHelmet(TAO)"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Helmet.txt:55:CheongboHelmet(TAO)"
"Item"	"206"	"CheongboHelmet(WAR)"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Helmet.txt:53:CheongboHelmet(WAR)"
"Item"	"209"	"CheongboHelmet(WIZ)"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Helmet.txt:54:CheongboHelmet(WIZ)"
"Item"	"451"	"CraftRing1"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Ring.txt:122:CraftRing1"
"Item"	"460"	"CraftRing10"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Ring.txt:131:CraftRing10"
"Item"	"452"	"CraftRing2"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Ring.txt:123:CraftRing2"
"Item"	"453"	"CraftRing3"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Ring.txt:124:CraftRing3"
"Item"	"454"	"CraftRing4"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Ring.txt:125:CraftRing4"
"Item"	"455"	"CraftRing5"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Ring.txt:126:CraftRing5"
"Item"	"456"	"CraftRing6"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Ring.txt:127:CraftRing6"
"Item"	"457"	"CraftRing7"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Ring.txt:128:CraftRing7"
"Item"	"458"	"CraftRing8"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Ring.txt:129:CraftRing8"
"Item"	"459"	"CraftRing9"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Ring.txt:130:CraftRing9"
"Item"	"1361"	"DCTorch3"	"1"	"1"	"Envir/SystemScripts"	"High"	"Envir/SystemScripts/00Default/UseItems.txt:33:GIVEITEM DCTorch3 1"
"Item"	"315"	"DeathBow"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Weapon.txt:158:DeathBow"
"Item"	"1323"	"DestructionLiquor"	"1"	"1"	"Envir/SystemScripts"	"High"	"Envir/SystemScripts/00Default/UseItems.txt:32:GIVEITEM DestructionLiquor 1"
"Item"	"843"	"Dice"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Nothing.txt:34:Dice"
"Item"	"581"	"DragonNecklace"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Necklace.txt:123:DragonNecklace"
"Item"	"587"	"DragonPendant"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Necklace.txt:124:DragonPendant"
"Item"	"726"	"DragonTorch"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Grocery.txt:36:DragonTorch"
"Item"	"1210"	"EbonyBangle"	"1"	"1"	"Envir/Quests"	"Medium"	"Envir/Quests/WoomyonWoods/Wilderness/InsectCave/6.txt:24:EbonyBangle"
"Item"	"1339"	"ElixirOfDefensive[1d]"	"1"	"1"	"Envir/SystemScripts"	"High"	"Envir/SystemScripts/00Default/UseItems.txt:68:GIVEITEM ElixirOfDefensive[1d] 1"
"Item"	"1340"	"ElixirOfGinseng[1d]"	"1"	"1"	"Envir/SystemScripts"	"High"	"Envir/SystemScripts/00Default/UseItems.txt:69:GIVEITEM ElixirOfGinseng[1d] 1"
"Item"	"1338"	"ElixirOfMight[1d]"	"1"	"1"	"Envir/SystemScripts"	"High"	"Envir/SystemScripts/00Default/UseItems.txt:67:GIVEITEM ElixirOfMight[1d] 1"
"Item"	"834"	"EmeraldOre"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Ore.txt:39:EmeraldOre"
"Item"	"724"	"EnternalFlame"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Grocery.txt:34:EnternalFlame"
"Item"	"528"	"EvilDragonBracelet"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Bracelet.txt:114:EvilDragonBracelet"
"Item"	"464"	"EvilDragonRing"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Ring.txt:135:EvilDragonRing"
"Item"	"1239"	"ExorcistRing"	"1"	"1"	"Envir/Quests"	"Medium"	"Envir/Quests/MongchonProvince/SabukWall/5.txt:18:ExorcistRing"
"Item"	"1341"	"EXP20%[1d]"	"1"	"1"	"Envir/SystemScripts"	"High"	"Envir/SystemScripts/00Default/UseItems.txt:70:GIVEITEM EXP20%[1d] 1"
"Item"	"1214"	"EyeofGoldenSnake"	"1"	"1"	"Envir/Quests"	"Medium"	"Envir/Quests/SerpentValley/Serpent Mines/4.txt:23:EyeofGoldenSnake"
"Item"	"857"	"Feather"	"1"	"1"	"Envir/Drops"	"Medium"	"Envir/Drops/Provinces/Hen.txt:31:1/20 Feather"
"Item"	"1346"	"FishingPackage"	"1"	"1"	"Envir/SystemScripts"	"Medium"	"Envir/SystemScripts/00Default/UseItems.txt:72:;;FishingPackage"
"Item"	"1327"	"GalePotion"	"1"	"1"	"Envir/SystemScripts"	"High"	"Envir/SystemScripts/00Default/UseItems.txt:34:GIVEITEM GalePotion 1"
"Item"	"842"	"GambleChip"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Nothing.txt:33:GambleChip"
"Item"	"672"	"Ginseng"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Potion.txt:48:Ginseng"
"Item"	"811"	"Gobby"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Potion.txt:36:Gobby"
"Item"	"780"	"GoldBell"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Mount.txt:54:GoldBell"
"Item"	"777"	"GoldBridle"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Mount.txt:51:GoldBridle"
"Item"	"522"	"GoldenDragonBrace"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Bracelet.txt:113:GoldenDragonBrace"
"Item"	"781"	"GreenBell"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Mount.txt:55:GreenBell"
"Item"	"1322"	"GreenOctagonalBox"	"1"	"1"	"Envir/SystemScripts"	"Medium"	"Envir/SystemScripts/00Default/UseItems.txt:46:;;GreenOctagonalBox"
"Item"	"847"	"GuardianOrb"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Nothing.txt:38:GuardianOrb"
"Item"	"1290"	"GuardRental[7d]"	"1"	"1"	"Envir/SystemScripts"	"High"	"Envir/SystemScripts/00Default/GuardsHelp.txt:4:CHECKITEM GuardRental[7d]"
"Item"	"1209"	"HardSteelSword"	"1"	"1"	"Envir/Quests"	"Medium"	"Envir/Quests/WoomyonWoods/Wilderness/InsectCave/6.txt:23:HardSteelSword"
"Item"	"767"	"IceLeopard"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Mount.txt:41:IceLeopard"
"Item"	"972"	"Knapsack(L)"	"1"	"1"	"Envir/Drops"	"Medium"	"Envir/Drops/00Strongbox.txt:11:1/300 Knapsack(L)"
"Item"	"971"	"Knapsack(M)"	"1"	"1"	"Envir/Drops"	"Medium"	"Envir/Drops/00Strongbox.txt:10:1/200 Knapsack(M)"
"Item"	"970"	"Knapsack(S)"	"1"	"1"	"Envir/Drops"	"Medium"	"Envir/Drops/00Strongbox.txt:9:1/100 Knapsack(S)"
"Item"	"1230"	"LeatherArmour(F)"	"1"	"1"	"Envir/Drops"	"Medium"	"Envir/Drops/MongchonProvince/Zuma/ZumaTaurus.txt:49:1/5 LeatherArmour(F)"
"Item"	"1229"	"LeatherArmour(M)"	"1"	"1"	"Envir/Drops"	"Medium"	"Envir/Drops/MongchonProvince/Zuma/ZumaTaurus.txt:48:1/5 LeatherArmour(M)"
"Item"	"776"	"LeatherBridle"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Mount.txt:50:LeatherBridle"
"Item"	"786"	"LeatherMask"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Mount.txt:60:LeatherMask"
"Item"	"521"	"LunarBracelet"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Bracelet.txt:112:LunarBracelet"
"Item"	"810"	"Mackeral"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Potion.txt:37:Mackeral"
"Item"	"1324"	"MagicalLiquor"	"1"	"1"	"Envir/SystemScripts"	"High"	"Envir/SystemScripts/00Default/UseItems.txt:42:GIVEITEM MagicalLiquor 1"
"Item"	"1208"	"MagicBangle"	"1"	"1"	"Envir/Quests"	"Medium"	"Envir/Quests/BichonProvince/BichonWall/21.txt:22:MagicBangle"
"Item"	"1362"	"MCTorch3"	"1"	"1"	"Envir/SystemScripts"	"High"	"Envir/SystemScripts/00Default/UseItems.txt:43:GIVEITEM MCTorch3 1"
"Item"	"1334"	"MongchonWine"	"1"	"1"	"Envir/SystemScripts"	"Medium"	"Envir/SystemScripts/SharedNPCS/Tavern.txt:18:MongchonWine"
"Item"	"1211"	"MonkBangle"	"1"	"1"	"Envir/Quests"	"Medium"	"Envir/Quests/WoomyonWoods/Wilderness/InsectCave/6.txt:25:MonkBangle"
"Item"	"832"	"Nephrite"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Ore.txt:37:Nephrite"
"Item"	"1175"	"OldCopperRing"	"1"	"1"	"Envir/Quests"	"Medium"	"Envir/Quests/BichonProvince/BorderVillage/4.txt:20:OldCopperRing"
"Item"	"835"	"OlivineOre"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Ore.txt:40:OlivineOre"
"Item"	"768"	"PantheraTiger"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Mount.txt:42:PantheraTiger"
"Item"	"158"	"RaidersArmour(F)"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Armour.txt:51:RaidersArmour(F)"
"Item"	"152"	"RaidersArmour(M)"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Armour.txt:50:RaidersArmour(M)"
"Item"	"176"	"RaidersBoots"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Boot.txt:58:RaidersBoots"
"Item"	"177"	"RaidersBoots1"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Boot.txt:59:RaidersBoots1"
"Item"	"178"	"RaidersBoots2"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Boot.txt:60:RaidersBoots2"
"Item"	"179"	"RaidersBoots3"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Boot.txt:61:RaidersBoots3"
"Item"	"180"	"RaidersBoots4"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Boot.txt:62:RaidersBoots4"
"Item"	"181"	"RaidersBoots5"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Boot.txt:63:RaidersBoots5"
"Item"	"170"	"RaidersGlove"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Bracelet.txt:65:RaidersGlove"
"Item"	"164"	"RaidersHelmet"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Helmet.txt:50:RaidersHelmet"
"Item"	"470"	"RDragonRing"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Ring.txt:136:RDragonRing"
"Item"	"794"	"RedFishingRod[6M]"	"1"	"1"	"Envir/SystemScripts"	"High"	"Envir/SystemScripts/00Default/UseItems.txt:75:GIVEITEM RedFishingRod[6M] 1"
"Item"	"1321"	"RedOctagonalBox"	"1"	"1"	"Envir/SystemScripts"	"Medium"	"Envir/SystemScripts/00Default/UseItems.txt:37:;;RedOctagonalBox"
"Item"	"783"	"RedRibbon"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Mount.txt:57:RedRibbon"
"Item"	"769"	"RedTiger"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Mount.txt:43:RedTiger"
"Item"	"1330"	"RedWine"	"1"	"1"	"Envir/SystemScripts"	"Medium"	"Envir/SystemScripts/SharedNPCS/Tavern.txt:13:RedWine"
"Item"	"1233"	"RingOfMoral"	"1"	"1"	"Envir/Quests"	"Medium"	"Envir/Quests/WoomyonWoods/Castle-GI/Town/7.txt:25:RingOfMoral"
"Item"	"619"	"RottenShoes"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Boot.txt:71:RottenShoes"
"Item"	"830"	"Ruby"	"1"	"1"	"Envir/NPCs"	"Medium"	"Envir/NPCs/GM/GM-Ore.txt:35:Ruby"
