#TYPE	INDEX	NAME	REF_COUNT	FILE_COUNT	AREAS	RISK	SAMPLES
Item	1	SpiritBlade	4	4	Envir/Drops,Envir/NPCs	Medium	Envir/Drops/MongchonProvince/BugCave/EvilTongs.txt:5:1/75 SpiritBlade | Envir/Drops/MongchonProvince/BugCave/EvilTongs2.txt:5:1/75 SpiritBlade | Envir/Drops/MongchonProvince/BugCave/EvilTongs9.txt:5:1/75 SpiritBlade | Envir/NPCs/GM/GM-Weapon.txt:44:SpiritBlade
Item	7	SpiritHelmet	10	10	Envir/Drops,Envir/NPCs	Medium	Envir/Drops/AncientCaves/Ancient_KingHog.txt:66:1/80 SpiritHelmet | Envir/Drops/AncientCaves/Ancient_WoomaTaurus.txt:62:1/160 SpiritHelmet | Envir/Drops/AncientCaves/StoneTemple/Ancient_KingHog.txt:66:1/80 SpiritHelmet | Envir/Drops/AncientCaves/WoomaTemple/Ancient_WoomaTaurus.txt:62:1/160 SpiritHelmet | Envir/Drops/MongchonProvince/BugCave/EvilTongs.txt:39:1/100 SpiritHelmet
Item	8	SpiritNecklace	13	6	Envir/Drops,Envir/NPCs	Medium	Envir/Drops/FlameTiger.txt:84:1/60 SpiritNecklace LV1 | Envir/Drops/FlameTiger.txt:275:1/60 SpiritNecklace LV2 | Envir/Drops/FlameTiger.txt:466:1/60 SpiritNecklace LV3 | Envir/Drops/FlameTiger.txt:657:1/60 SpiritNecklace LV4 | Envir/Drops/FlameTiger.txt:848:1/60 SpiritNecklace LV5
Item	9	SpiritBracelet	4	4	Envir/Drops,Envir/NPCs	Medium	Envir/Drops/MongchonProvince/BugCave/EvilTongs.txt:57:1/50 SpiritBracelet | Envir/Drops/MongchonProvince/BugCave/EvilTongs2.txt:57:1/50 SpiritBracelet | Envir/Drops/MongchonProvince/BugCave/EvilTongs9.txt:57:1/50 SpiritBracelet | Envir/NPCs/GM/GM-Bracelet.txt:44:SpiritBracelet
Item	10	SpiritRing	16	9	Envir/Drops,Envir/NPCs	Medium	Envir/Drops/AncientCaves/Ancient_WoomaTaurus.txt:98:1/80 SpiritRing | Envir/Drops/AncientCaves/WoomaTemple/Ancient_WoomaTaurus.txt:98:1/80 SpiritRing | Envir/Drops/FlameTiger.txt:102:1/100 SpiritRing LV1 | Envir/Drops/FlameTiger.txt:293:1/100 SpiritRing LV2 | Envir/Drops/FlameTiger.txt:484:1/100 SpiritRing LV3
Item	11	RecallHelmet	39	24	Envir/Drops,Envir/NPCs	Medium	Envir/Drops/AncientCaves/Ancient_KingHog.txt:65:1/100 RecallHelmet | Envir/Drops/AncientCaves/Ancient_WhiteBoar.txt:31:1/100 RecallHelmet | Envir/Drops/AncientCaves/Ancient_WoomaTaurus.txt:65:1/85 RecallHelmet | Envir/Drops/AncientCaves/StoneTemple/Ancient_KingHog.txt:65:1/100 RecallHelmet | Envir/Drops/AncientCaves/StoneTemple/Ancient_WhiteBoar.txt:31:1/100 RecallHelmet
Item	12	RecallNecklace	17	17	Envir/Drops,Envir/NPCs	Medium	Envir/Drops/AncientCaves/Ancient_KingHog.txt:69:1/100 RecallNecklace | Envir/Drops/AncientCaves/Ancient_WhiteBoar.txt:36:1/100 RecallNecklace | Envir/Drops/AncientCaves/Ancient_WoomaTaurus.txt:66:1/70 RecallNecklace | Envir/Drops/AncientCaves/StoneTemple/Ancient_KingHog.txt:69:1/100 RecallNecklace | Envir/Drops/AncientCaves/StoneTemple/Ancient_WhiteBoar.txt:36:1/100 RecallNecklace
Item	13	RecallBracelet	27	20	Envir/Drops,Envir/NPCs	Medium	Envir/Drops/AncientCaves/Ancient_KingHog.txt:84:1/100 RecallBracelet | Envir/Drops/AncientCaves/Ancient_WhiteBoar.txt:52:1/100 RecallBracelet | Envir/Drops/AncientCaves/Ancient_WoomaTaurus.txt:67:1/85 RecallBracelet | Envir/Drops/AncientCaves/StoneTemple/Ancient_KingHog.txt:84:1/100 RecallBracelet | Envir/Drops/AncientCaves/StoneTemple/Ancient_WhiteBoar.txt:52:1/100 RecallBracelet
Item	14	RecallRing	25	18	Envir/Drops,Envir/NPCs	Medium	Envir/Drops/AncientCaves/Ancient_KingHog.txt:101:1/500 RecallRing | Envir/Drops/AncientCaves/Ancient_WhiteBoar.txt:69:1/300 RecallRing | Envir/Drops/AncientCaves/Ancient_WoomaTaurus.txt:68:1/100 RecallRing | Envir/Drops/AncientCaves/StoneTemple/Ancient_KingHog.txt:101:1/500 RecallRing | Envir/Drops/AncientCaves/StoneTemple/Ancient_WhiteBoar.txt:69:1/300 RecallRing
Item	15	RedOrchidNecklace	23	9	Envir/Drops,Envir/NPCs	Medium	Envir/Drops/FlameTiger.txt:76:1/90 RedOrchidNecklace LV1 | Envir/Drops/FlameTiger.txt:267:1/90 RedOrchidNecklace LV2 | Envir/Drops/FlameTiger.txt:458:1/90 RedOrchidNecklace LV3 | Envir/Drops/FlameTiger.txt:649:1/90 RedOrchidNecklace LV4 | Envir/Drops/FlameTiger.txt:840:1/90 RedOrchidNecklace LV5
