#TYPE	INDEX	FIELD	SOURCE	TARGET
NPC	227	Name	BichonSoldier_Frank	比奇士兵弗兰克
NPC	231	Name	PotionShop_Samuel	药店老板塞缪尔
NPC	232	Name	Grocery_Bull	杂货商布尔
NPC	233	Name	Sailor_Alfred	水手阿尔弗雷德
NPC	234	Name	Storage_Jon	仓库管理员乔恩
NPC	235	Name	Blacksmith_Kieron	铁匠基伦
NPC	236	Name	Drapery_Amanda	服装商阿曼达
NPC	237	Name	Accessory_Abbigale	饰品商阿比盖尔
NPC	238	Name	Book_Vivian	书商薇薇安
NPC	239	Name	General_Martyn	将军马丁
NPC	240	Name	FishMonger_Laura	鱼贩劳拉
NPC	241	Name	Captain_Andrew	船长安德鲁
NPC	276	Name	CraftingVillage_Portal	工匠村传送门
NPC	277	Name	CraftingVillage_Portal	工匠村传送门
NPC	278	Name	CraftingVillage_Portal	工匠村传送门
NPC	279	Name	CraftingVillage_Portal	工匠村传送门
NPC	280	Name	CraftingVillage_Portal	工匠村传送门
NPC	281	Name	CraftingVillage_Portal	工匠村传送门
NPC	282	Name	CraftingVillage_Portal	工匠村传送门
NPC	283	Name	TravellingMerchant_Damian	旅行商人达米安
NPC	284	Name	TravellingMerchant_Damian	旅行商人达米安
NPC	285	Name	TravellingMerchant_Damian	旅行商人达米安
NPC	286	Name	TravellingMerchant_Damian	旅行商人达米安
NPC	287	Name	TravellingMerchant_Damian	旅行商人达米安
NPC	288	Name	TravellingMerchant_Damian	旅行商人达米安
NPC	289	Name	TravellingMerchant_Damian	旅行商人达米安
NPC	290	Name	TravellingMerchant_Damian	旅行商人达米安
NPC	291	Name	TravellingMerchant_Damian	旅行商人达米安
NPC	292	Name	TravellingMerchant_Damian	旅行商人达米安
NPC	293	Name	TravellingMerchant_Damian	旅行商人达米安
