#TYPE	INDEX	FIELD	SOURCE	TARGET
NPC	1	Name	Teleport_Gilbert	传送员吉尔伯特
NPC	2	Name	BorderVillage_Board	边境村公告板
NPC	6	Name	Librarian_Brian	图书管理员布莱恩
NPC	8	Name	Merchant_Whitney	商人惠特尼
NPC	10	Name	InnKeeper_Anthony	旅店老板安东尼
NPC	11	Name	Merchant_Alice	商人爱丽丝
NPC	12	Name	Merchant_Betty	商人贝蒂
NPC	13	Name	Merchant_Clara	商人克拉拉
NPC	14	Name	Prison_Guard	监狱守卫
NPC	15	Name	Sailor_Rupert	水手鲁珀特
NPC	21	Name	MasterMage_Don	大法师唐恩
NPC	26	Name	Merchant_Kim	商人金
NPC	29	Name	Alchemist_Larry	炼金师拉里
NPC	30	Name	Specialist_Travis	专家特拉维斯
NPC	31	Name	InnKeeper_Brittney	旅店老板布兰妮
NPC	32	Name	InnKeeper_Mary	旅店老板玛丽
NPC	33	Name	Merchant_Bull	商人布尔
NPC	34	Name	Lottery_Eddie	彩票商埃迪
NPC	36	Name	MaterialDealer_Jeffery	材料商杰弗里
NPC	39	Name	WiseFisherman_Albert	睿智渔夫阿尔伯特
NPC	40	Name	StableGirl_Mary	马厩姑娘玛丽
NPC	41	Name	Solider_Richard	士兵理查德
NPC	42	Name	TrustMerchant_James	委托商人詹姆斯
NPC	43	Name	GTMerchant_Jamie	行会领地商人杰米
NPC	44	Name	Administrator_Edward	管理员爱德华
NPC	45	Name	Librarian_Steven	图书管理员史蒂文
NPC	46	Name	Merchant_Vincent	商人文森特
NPC	47	Name	Merchant_Olivia	商人奥利维亚
NPC	48	Name	Merchant_Diana	商人黛安娜
NPC	49	Name	Merchant_Kristin	商人克里斯汀
